lemma,past,present_phones,past_phones
percolate,percolated,P ER K AH L EY T,P ER K AH L EY T IH D
televise,televised,T EH L AH V AY Z,T EH L AH V AY Z D
overrule,overruled,OW V ER R UW L,OW V ER R UW L D
fly,flew,F L AY,F L UW
browse,browsed,B R AW Z,B R AW Z D
oversize,oversized,OW V ER S AY Z,OW V ER S AY Z D
home,homed,HH OW M,HH OW M D
forget,forgot,F ER G EH T,F ER G AA T
reschedule,rescheduled,R IY S K EH JH UW L,R IY S K EH JH UW L D
reassemble,reassembled,R IY AH S EH M B AH L,R IY AH S EH M B AH L D
scratch,scratched,S K R AE CH,S K R AE CH T
unmanage,unmanaged,AH N M AE N IH JH,AH N M AE N IH JH D
pigeonhole,pigeonholed,P IH JH AH N HH OW L,P IH JH AH N HH OW L D
station,stationed,S T EY SH AH N,S T EY SH AH N D
fable,fabled,F EY B AH L,F EY B AH L D
reclassify,reclassified,R IY K L AE S IH F AY,R IY K L AE S AH F AY D
restage,restaged,R IY S T EY JH,R IY S T EY JH D
hunch,hunched,HH AH N CH,HH AH N CH T
melt,melted,M EH L T,M EH L T AH D
commercialize,commercialized,K AH M ER SH AH L AY Z,K AH M ER SH AH L AY Z D
underpin,underpinned,AH N D ER P IH N,AH N D ER P IH N D
wear,wore,W EH R,W AO R
mesh,meshed,M EH SH,M EH SH T
jade,jaded,JH EY D,JH EY D AH D
fend,fended,F EH N D,F EH N D IH D
carbonate,carbonated,K AA R B AH N EY T,K AA R B AH N EY T IH D
breathe,breathed,B R IY DH,B R IY DH D
enfranchise,enfranchised,IH N F R AE N CH AY Z,EH N F R AE N CH AY Z D
kiss,kissed,K IH S,K IH S T
sting,stung,S T IH NG,S T AH NG
grow,grew,G R OW,G R UW
jar,jarred,JH AA R,JH AA R D
jot,jotted,JH AA T,JH AA T IH D
bristle,bristled,B R IH S AH L,B R IH S AH L D
break,broke,B R EY K,B R OW K
lampoon,lampooned,L AE M P UW N,L AE M P UW N D
remain,remained,R IH M EY N,R IH M EY N D
ravage,ravaged,R AE V IH JH,R AE V IH JH D
enrich,enriched,EH N R IH CH,EH N R IH CH T
winterize,winterized,W IH N T ER AY Z,W IH N T ER AY Z D
member,membered,M EH M B ER,M EH M B ER D
cable,cabled,K EY B AH L,K EY B AH L D
narrate,narrated,N EH R EY T,N EH R EY T IH D
proffer,proffered,P R AA F ER,P R AA F ER D
campaign,campaigned,K AE M P EY N,K AE M P EY N D
magnify,magnified,M AE G N AH F AY,M AE G N AH F AY D
lift,lifted,L IH F T,L IH F T AH D
culture,cultured,K AH L CH ER,K AH L CH ER D
lambaste,lambasted,L AE M B AE S T,L AE M B AE S T IH D
censor,censored,S EH N S ER,S EH N S ER D
coerce,coerced,K OW ER S,K OW ER S T
inculcate,inculcated,IH NG K AH L K EY T,IH NG K AH L K EY T AH D
induce,induced,IH N D UW S,IH N D UW S T
terminate,terminated,T ER M AH N EY T,T ER M AH N EY T IH D
cinch,cinched,S IH N CH,S IH N CH T
snatch,snatched,S N AE CH,S N AE CH T
rebel,rebelled,R EH B AH L,R IH B EH L D
vanquish,vanquished,V AE NG K W IH SH,V AE NG K W IH SH T
miss,missed,M IH S,M IH S T
thrive,throve,TH R AY V,TH R OW V
devastate,devastated,D EH V AH S T EY T,D EH V AH S T EY T IH D
dimension,dimensioned,D IH M EH N SH AH N,D AH M EH N CH AH N D
lure,lured,L UH R,L UH R D
streak,streaked,S T R IY K,S T R IY K T
realize,realized,R IY AH L AY Z,R IY AH L AY Z D
wise,wised,W AY Z,W AY Z D
eclipse,eclipsed,IH K L IH P S,IH K L IH P S T
prep,prepped,P R EH P,P R EH P T
let,let,L EH T,L EH T
shake,shook,SH EY K,SH UH K
switch,switched,S W IH CH,S W IH CH T
zip,zipped,Z IH P,Z IH P T
earn,earned,ER N,ER N D
mire,mired,M AY R,M AY R D
lump,lumped,L AH M P,L AH M P T
recruit,recruited,R AH K R UW T,R IH K R UW T IH D
peep,peeped,P IY P,P IY P T
slog,slogged,S L AA G,S L AA G D
beg,begged,B EH G,B EH G D
sublet,sublet,S AH B L EH T,S AH B L EH T
bread,breaded,B R EH D,B R EH D IH D
impose,imposed,IH M P OW Z,IH M P OW Z D
relaunch,relaunched,R IY L AO N CH,R IY L AO N CH T
rake,raked,R EY K,R EY K T
erase,erased,IH R EY S,IH R EY S T
web,webbed,W EH B,W EH B D
vacillate,vacillated,V AE S AH L EY T,V AE S AH L EY T IH D
overrate,overrated,OW V ER R EY T,OW V ER R EY T IH D
obligate,obligated,AA B L AH G EY T,AA B L AH G EY T IH D
enrage,enraged,EH N R EY JH,EH N R EY JH D
crash,crashed,K R AE SH,K R AE SH T
plot,plotted,P L AA T,P L AA T IH D
deluge,deluged,D EH L Y UW JH,D EH L Y UW JH D
trot,trotted,T R AA T,T R AA T IH D
boss,bossed,B AA S,B AA S T
embargo,embargoed,EH M B AA R G OW,IH M B AA R G OW D
insert,inserted,IH N S ER T,IH N S ER T AH D
hemorrhage,hemorrhaged,HH EH M ER IH JH,HH EH M ER IH JH D
stall,stalled,S T AO L,S T AO L D
intrigue,intrigued,IH N T R IY G,IH N T R IY G D
root,rooted,R UW T,R UW T AH D
enshrine,enshrined,EH N SH R AY N,EH N SH R AY N D
bowse,bowsed,B OW S,B AW Z D
waive,waived,W EY V,W EY V D
lend,lent,L EH N D,L EH N T
emboss,embossed,IH M B AO S,IH M B AO S T
drag,dragged,D R AE G,D R AE G D
pressure,pressured,P R EH SH ER,P R EH SH ER D
designate,designated,D EH Z AH G N EY T,D EH Z IH G N EY T IH D
dissatisfy,dissatisfied,D IH S AE T AH S F AY,D IH S AE T AH S F AY D
enhance,enhanced,EH N HH AE N S,EH N HH AE N S T
acknowledge,acknowledged,AE K N AA L IH JH,AE K N AA L IH JH D
pour,poured,P AO R,P AO R D
suppress,suppressed,S AH P R EH S,S AH P R EH S T
alienate,alienated,EY L Y AH N EY T,EY L IY AH N EY T IH D
tinkle,tinkled,T IH NG K AH L,T IH NG K AH L D
cultivate,cultivated,K AH L T AH V EY T,K AH L T AH V EY T IH D
dupe,duped,D UW P,D UW P T
meter,metered,M IY T ER,M IY T ER D
moderate,moderated,M AA D ER AH T,M AA D ER EY T IH D
smooth,smoothed,S M UW DH,S M UW DH D
bash,bashed,B AE SH,B AE SH T
render,rendered,R EH N D ER,R EH N D ER D
grease,greased,G R IY S,G R IY S T
neuter,neutered,N UW T ER,N UW T ER D
elapse,elapsed,IH L AE P S,IH L AE P S T
measure,measured,M EH ZH ER,M EH ZH ER D
outvote,outvoted,AW T V OW T,AW T V OW T IH D
entrance,entranced,EH N T R AH N S,IH N T R AE N S T
broadcast,broadcast,B R AO D K AE S T,B R AO D K AE S T
quell,quelled,K W EH L,K W EH L D
define,defined,D IH F AY N,D IH F AY N D
haunt,haunted,HH AO N T,HH AO N T IH D
amaze,amazed,AH M EY Z,AH M EY Z D
wiggle,wiggled,W IH G AH L,W IH G AH L D
slight,slighted,S L AY T,S L AY T IH D
castrate,castrated,K AE S T R EY T,K AE S T R EY T IH D
muscle,muscled,M AH S AH L,M AH S AH L D
deliberate,deliberated,D IH L IH B ER AH T,D IH L IH B ER EY T IH D
whip,whipped,W IH P,W IH P T
roar,roared,R AO R,R AO R D
harass,harassed,HH ER AE S,HH ER AE S T
unsell,unsold,AH N S EH L,AH N S OW L D
rim,rimmed,R IH M,R IH M D
establish,established,IH S T AE B L IH SH,IH S T AE B L IH SH T
stonewall,stonewalled,S T OW N W AO L,S T OW N W AO L D
reward,rewarded,R IH W AO R D,R IH W AO R D IH D
cripple,crippled,K R IH P AH L,K R IH P AH L D
boast,boasted,B OW S T,B OW S T AH D
voyage,voyaged,V OY AH JH,V OY AH JH D
perplex,perplexed,P ER P L EH K S,P ER P L EH K S T
apologize,apologized,AH P AA L AH JH AY Z,AH P AA L AH JH AY Z D
snag,snagged,S N AE G,S N AE G D
entwine,entwined,EH N T W AY N,EH N T W AY N D
slit,slit,S L IH T,S L IH T
hyphenate,hyphenated,HH AY F AH N EY T,HH AY F AH N EY T IH D
binge,binged,B IH N JH,B IH N JH D
pass,passed,P AE S,P AE S T
zone,zoned,Z OW N,Z OW N D
immigrate,immigrated,IH M AH G R EY T,IH M AH G R EY T IH D
rag,ragged,R AE G,R AE G AH D
intertwine,intertwined,IH N T ER T W AY N,IH N T ER T W AY N D
ironize,ironized,AY ER N AY Z,AY ER N AY Z D
fence,fenced,F EH N S,F EH N S T
soil,soiled,S OY L,S OY L D
intersperse,interspersed,IH N T ER S P ER S,IH N T ER S P ER S T
replenish,replenished,R IY P L EH N IH SH,R IY P L EH N IH SH T
belittle,belittled,B IH L IH T AH L,B IH L IH T AH L D
underwrite,underwrote,AH N D ER R AY T,AH N D ER R OW T
purchase,purchased,P ER CH AH S,P ER CH AH S T
skyrocket,skyrocketed,S K AY R AA K AH T,S K AY R AA K AH T IH D
cockey,cockeyed,K AA K IY,K AA K AY D
amortize,amortized,AE M ER T AY Z,AE M ER T AY Z D
refuel,refueled,R IY F Y UW AH L,R IY F Y UW AH L D
collapse,collapsed,K AH L AE P S,K AH L AE P S T
baptize,baptized,B AE P T AY Z,B AE P T AY Z D
illuminate,illuminated,IH L UW M IH N IH T,IH L UW M AH N EY T AH D
archive,archived,AA R K AY V,AA R K AY V D
close,closed,K L OW S,K L OW Z D
ratify,ratified,R AE T AH F AY,R AE T AH F AY D
pump,pumped,P AH M P,P AH M P T
duke,duked,D UW K,D UW K T
pi,pied,P AY,P AY D
clear,cleared,K L IH R,K L IH R D
outsize,outsized,AW T S AY Z,AW T S AY Z D
bunch,bunched,B AH N CH,B AH N CH T
parcel,parceled,P AA R S AH L,P AA R S AH L D
crest,crested,K R EH S T,K R EH S T IH D
clone,cloned,K L OW N,K L OW N D
outgun,outgunned,AW T G AH N,AW T G AH N D
occupy,occupied,AA K Y AH P AY,AA K Y AH P AY D
vaporize,vaporized,V EY P ER AY Z,V EY P ER AY Z D
omit,omitted,OW M IH T,OW M IH T AH D
misjudge,misjudged,M IH S JH AH JH,M IH S JH AH JH D
burgeon,burgeoned,B ER JH AH N,B ER JH AH N D
earmark,earmarked,IH R M AA R K,IH R M AA R K T
frustrate,frustrated,F R AH S T R EY T,F R AH S T R EY T AH D
loop,looped,L UW P,L UW P T
codify,codified,K OW D AH F AY,K AA D AH F AY D
continue,continued,K AH N T IH N Y UW,K AH N T IH N Y UW D
stratify,stratified,S T R AE T AH F AY,S T R AE T AH F AY D
creolize,creolized,K R IY OW L AY Z,K R IY OW L AY Z D
poll,polled,P OW L,P OW L D
subdivide,subdivided,S AH B D AH V AY D,S AH B D IH V AY D IH D
conjugate,conjugated,K AA N JH AH G EY T,K AA N JH AH G EY T IH D
blow,blew,B L OW,B L UW
mob,mobbed,M AA B,M AA B D
deem,deemed,D IY M,D IY M D
spelunk,spelunked,S P AH L AH NG K,S P AH L AH NG K T
volunteer,volunteered,V AA L AH N T IH R,V AA L AH N T IH R D
ogle,ogled,OW G AH L,OW G AH L D
segregate,segregated,S EH G R AH G EY T,S EH G R AH G EY T IH D
refinish,refinished,R IY F IH N IH SH,R IY F IH N IH SH T
deceive,deceived,D IH S IY V,D IH S IY V D
reprocess,reprocessed,R IY P R AO S EH S,R IY P R AO S EH S T
inlet,inlet,IH N L EH T,IH N L EH T
wail,wailed,W EY L,W EY L D
overwhelm,overwhelmed,OW V ER W EH L M,OW V ER W EH L M D
dispel,dispelled,D IH S P EH L,D IH S P EH L D
brag,bragged,B R AE G,B R AE G D
gas,gassed,G AE S,G AE S T
trouble,troubled,T R AH B AH L,T R AH B AH L D
mumble,mumbled,M AH M B AH L,M AH M B AH L D
snowball,snowballed,S N OW B AO L,S N OW B AO L D
satisfy,satisfied,S AE T AH S F AY,S AE T AH S F AY D
reanalyze,reanalyzed,R IY AE N AH L AY Z,R IY AE N AH L AY Z D
animate,animated,AE N AH M AH T,AE N AH M EY T IH D
rally,rallied,R AE L IY,R AE L IY D
mystify,mystified,M IH S T AH F AY,M IH S T AH F AY D
blast,blasted,B L AE S T,B L AE S T AH D
muzzle,muzzled,M AH Z AH L,M AH Z AH L D
profile,profiled,P R OW F AY L,P R OW F AY L D
backpedal,backpedaled,B AE K P EH D AH L,B AE K P EH D AH L D
right,righted,R AY T,R AY T IH D
wish,wished,W IH SH,W IH SH T
antiquate,antiquated,AE N T AH K W EY T,AE N T AH K W EY T IH D
resurface,resurfaced,R IY S ER F AH S,R IY S ER F AH S T
pigment,pigmented,P IH G M AH N T,P IH G M EH T IH D
fiddle,fiddled,F IH D AH L,F IH D AH L D
hone,honed,HH OW N,HH OW N D
reinstate,reinstated,R IY IH N S T EY T,R IY IH N S T EY T IH D
attune,attuned,AH T UW N,AH T UW N D
glorify,glorified,G L AO R AH F AY,G L AO R AH F AY D
torch,torched,T AO R CH,T AO R CH T
formalize,formalized,F AO R M AH L AY Z,F AO R M AH L AY Z D
pock,pocked,P AA K,P AA K T
typify,typified,T IH P AH F AY,T IH P AH F AY D
maximize,maximized,M AE K S AH M AY Z,M AE K S AH M AY Z D
wring,wrung,R IH NG,R AH NG
scrub,scrubbed,S K R AH B,S K R AH B D
reappraise,reappraised,R IY AH P R EY Z,R IY AH P R EY Z D
signify,signified,S IH G N AH F AY,S IH G N AH F AY D
shy,shied,SH AY,SH AY D
glower,glowered,G L AW ER,G L AW ER D
drive,drove,D R AY V,D R OW V
allure,allured,AH L UH R,AH L UH R D
rout,routed,R AW T,R UW T IH D
better,bettered,B EH T ER,B EH T ER D
boil,boiled,B OY L,B OY L D
stop,stopped,S T AA P,S T AA P T
tower,towered,T AW ER,T AW ER D
swivel,swiveled,S W IH V AH L,S W IH V AH L D
irritate,irritated,IH R IH T EY T,IH R AH T EY T AH D
rekindle,rekindled,R IY K IH N D AH L,R IY K IH N D AH L D
sidle,sidled,S AY D AH L,S AY D AH L D
exploit,exploited,EH K S P L OY T,EH K S P L OY T AH D
rebuke,rebuked,R IY B Y UW K,R IH B Y UW K T
psyche,psyched,S AY K IY,S AY K T
flip,flipped,F L IH P,F L IH P T
shape,shaped,SH EY P,SH EY P T
dispossess,dispossessed,D IH S P AH Z EH S,D IH S P AH Z EH S T
concede,conceded,K AH N S IY D,K AH N S IY D IH D
pasteurize,pasteurized,P AE S CH ER AY Z,P AE S CH ER AY Z D
triple,tripled,T R IH P AH L,T R IH P AH L D
dock,docked,D AA K,D AA K T
deviate,deviated,D IY V IY EY T,D IY V IY EY T IH D
shop,shopped,SH AA P,SH AA P T
presplit,presplit,P R IY S P L IH T,P R IY S P L IH T
chase,chased,CH EY S,CH EY S T
fall,fell,F AO L,F EH L
overexcite,overexcited,OW V ER EH K S AY T,OW V ER EH K S AY T IH D
option,optioned,AA P SH AH N,AA P SH AH N D
oar,oared,AO R,AO R D
stray,strayed,S T R EY,S T R EY D
sustain,sustained,S AH S T EY N,S AH S T EY N D
wave,waved,W EY V,W EY V D
stroke,stroked,S T R OW K,S T R OW K T
abbreviate,abbreviated,AH B R IY V IY EY T,AH B R IY V IY EY T IH D
saddle,saddled,S AE D AH L,S AE D AH L D
submerse,submersed,S AH B M ER S,S AH B M ER S T
farm,farmed,F AA R M,F AA R M D
flaunt,flaunted,F L AO N T,F L AO N T IH D
chauffeur,chauffeured,SH OW F ER,SH OW F ER D
collude,colluded,K AH L UW D,K AH L UW D IH D
pile,piled,P AY L,P AY L D
study,studied,S T AH D IY,S T AH D IY D
vet,vetted,V EH T,V EH T IH D
glisten,glistened,G L IH S AH N,G L IH S AH N D
babysit,babysat,B EY B IY S IH T,B EY B IY S AE T
dehydrate,dehydrated,D IH HH AY D R EY T,D IH HH AY D R EY T AH D
harmonize,harmonized,HH AA R M AH N AY Z,HH AA R M AH N AY Z D
inebriate,inebriated,IH N EH B R IY EY T,IH N EH B R IY EY T AH D
enrapture,enraptured,EH N R AE P CH ER,EH N R AE P CH ER D
forest,forested,F AO R AH S T,F AO R AH S T AH D
repaint,repainted,R IY P EY N T,R IY P EY N T IH D
dethrone,dethroned,D IH TH R OW N,D IH TH R OW N D
box,boxed,B AA K S,B AA K S T
ooze,oozed,UW Z,UW Z D
dislike,disliked,D IH S L AY K,D IH S L AY K T
comb,combed,K OW M,K OW M D
stigmatize,stigmatized,S T IH G M AH T AY Z,S T IH G M AH T AY Z D
elope,eloped,IH L OW P,IH L OW P D
instigate,instigated,IH N S T AH G EY T,IH N S T AH G EY T IH D
accomplish,accomplished,AH K AA M P L IH SH,AH K AA M P L IH SH T
treble,trebled,T R EH B AH L,T R EH B AH L D
whitewash,whitewashed,W AY T W AA SH,W AY T W AA SH T
hop,hopped,HH AA P,HH AA P T
pancake,pancaked,P AE N K EY K,P AE N K EY K T
holler,hollered,HH AA L ER,HH AA L ER D
shred,shredded,SH R EH D,SH R EH D IH D
brace,braced,B R EY S,B R EY S T
litigate,litigated,L IH T IH G EY T,L IH T IH G EY T IH D
curry,curried,K AH R IY,K ER IY D
wash,washed,W AA SH,W AA SH T
revile,reviled,R IY V AY L,R IY V AY L D
fracture,fractured,F R AE K CH ER,F R AE K CH ER D
become,became,B IH K AH M,B IH K EY M
overbuy,overbought,OW V ER B AY,OW V ER B AO T
file,filed,F AY L,F AY L D
spot,spotted,S P AA T,S P AA T IH D
repeal,repealed,R IH P IY L,R IH P IY L D
compete,competed,K AH M P IY T,K AH M P IY T IH D
refurbish,refurbished,R IY F ER B IH SH,R IY F ER B IH SH T
escort,escorted,EH S K AO R T,EH S K AO R T IH D
subdue,subdued,S AH B D UW,S AH B D UW D
dissuade,dissuaded,D IH S W EY D,D IH S W EY D IH D
hand,handed,HH AE N D,HH AE N D AH D
twinkle,twinkled,T W IH NG K AH L,T W IH NG K AH L D
reclaim,reclaimed,R IY K L EY M,R IY K L EY M D
hype,hyped,HH AY P,HH AY P T
braise,braised,B R EY Z,B R EY Z D
screw,screwed,S K R UW,S K R UW D
tile,tiled,T AY L,T AY L D
usher,ushered,AH SH ER,AH SH ER D
scramble,scrambled,S K R AE M B AH L,S K R AE M B AH L D
stem,stemmed,S T EH M,S T EH M D
pulverize,pulverized,P AH L V ER AY Z,P AH L V ER AY Z D
founder,foundered,F AW N D ER,F AW N D ER D
degenerate,degenerated,D IH JH EH N ER AH T,D IH JH EH N ER EY T IH D
factor,factored,F AE K T ER,F AE K T ER D
diagnose,diagnosed,D AY AH G N OW S,D AY AH G N OW S T
padlock,padlocked,P AE D L AA K,P AE D L AA K T
regionalize,regionalized,R IY JH AH N AH L AY Z,R IY JH AH N AH L AY Z D
bandy,bandied,B AE N D IY,B AE N D IY D
skim,skimmed,S K IH M,S K IH M D
restructure,restructured,R IY S T R AH K CH ER,R IY S T R AH K CH ER D
snipe,sniped,S N AY P,S N AY P T
care,cared,K EH R,K EH R D
kindle,kindled,K IH N D AH L,K IH N D AH L D
exude,exuded,IH G Z UW D,IH G Z UW D IH D
rant,ranted,R AE N T,R AE N T IH D
rap,rapped,R AE P,R AE P T
advantage,advantaged,AE D V AE N T IH JH,AE D V AE N T IH JH D
pause,paused,P AO Z,P AO Z D
converse,conversed,K AA N V ER S,K AH N V ER S T
trivialize,trivialized,T R IH V IY AH L AY Z,T R IH V IY AH L AY Z D
don,donned,D AA N,D AA N D
mete,meted,M IY T,M IY T IH D
prop,propped,P R AA P,P R AA P T
rig,rigged,R IH G,R IH G D
morph,morphed,M AO R F,M AO R F T
tangle,tangled,T AE NG G AH L,T AE NG G AH L D
depress,depressed,D IH P R EH S,D IH P R EH S T
desert,deserted,D EH Z ER T,D IH Z ER T IH D
outgrow,outgrew,AW T G R OW,AW T G R UW
dry,dried,D R AY,D R AY D
civilize,civilized,S IH V AH L AY Z,S IH V AH L AY Z D
splice,spliced,S P L AY S,S P L AY S T
simmer,simmered,S IH M ER,S IH M ER D
fissure,fissured,F IH SH ER,F IH SH ER D
commemorate,commemorated,K AH M EH M ER EY T,K AH M EH M ER EY T IH D
enforce,enforced,EH N F AO R S,EH N F AO R S T
plod,plodded,P L AA D,P L AA D IH D
muffle,muffled,M AH F AH L,M AH F AH L D
transfer,transferred,T R AE N S F ER,T R AE N S F ER D
chime,chimed,CH AY M,CH AY M D
splinter,splintered,S P L IH N T ER,S P L IH N T ER D
involve,involved,IH N V AA L V,IH N V AA L V D
cache,cached,K AE SH,K AE SH T
badger,badgered,B AE JH ER,B AE JH ER D
beckon,beckoned,B EH K AH N,B EH K AH N D
detach,detached,D IH T AE CH,D IH T AE CH T
cloud,clouded,K L AW D,K L AW D IH D
kid,kidded,K IH D,K IH D IH D
visit,visited,V IH Z IH T,V IH Z IH T IH D
group,grouped,G R UW P,G R UW P T
blemish,blemished,B L EH M IH SH,B L EH M IH SH T
snap,snapped,S N AE P,S N AE P T
mobilize,mobilized,M OW B AH L AY Z,M OW B AH L AY Z D
summarize,summarized,S AH M ER AY Z,S AH M ER AY Z D
outfit,outfitted,AW T F IH T,AW T F IH T IH D
code,coded,K OW D,K OW D IH D
egg,egged,EH G,EH G D
bring,brought,B R IH NG,B R AO T
point,pointed,P OY N T,P OY N T IH D
conspire,conspired,K AH N S P AY ER,K AH N S P AY ER D
devise,devised,D IH V AY Z,D IH V AY Z D
thrash,thrashed,TH R AE SH,TH R AE SH T
levitate,levitated,L EH V IH T EY T,L EH V IH T EY T IH D
nurture,nurtured,N ER CH ER,N ER CH ER D
cremate,cremated,K R IY M EY T,K R IY M EY T IH D
shriek,shrieked,SH R IY K,SH R IY K T
unhinge,unhinged,AH N HH IH N JH,AH N HH IH N JH D
service,serviced,S ER V AH S,S ER V IH S T
outdo,outdid,AW T D UW,AW T D IH D
aspire,aspired,AH S P AY R,AH S P AY R D
overspend,overspent,OW V ER S P EH N D,OW V ER S P EH N T
sideline,sidelined,S AY D L AY N,S AY D L AY N D
thin,thinned,TH IH N,TH IH N D
enter,entered,EH N T ER,EH N T ER D
jettison,jettisoned,JH EH T IH S AH N,JH EH T IH S AH N D
compile,compiled,K AH M P AY L,K AH M P AY L D
tether,tethered,T EH DH ER,T EH DH ER D
devote,devoted,D IH V OW T,D IH V OW T IH D
derive,derived,D ER AY V,D ER AY V D
prune,pruned,P R UW N,P R UW N D
cum,came,K AH M,K EY M
stereotype,stereotyped,S T EH R IY AH T AY P,S T EH R IY AH T AY P T
undervalue,undervalued,AH N D ER V AE L Y UW,AH N D ER V AE L Y UW D
remodel,remodeled,R IY M AA D AH L,R IY M AA D AH L D
restart,restarted,R IY S T AA R T,R IY S T AA R T IH D
elucidate,elucidated,IH L UW S AH D EY T,IH L UW S AH D EY T AH D
piss,pissed,P IH S,P IH S T
consummate,consummated,K AA N S AH M AH T,K AA N S AH M EY T AH D
vent,vented,V EH N T,V EH N T IH D
whipsaw,whipsawed,W IH P S AO,W IH P S AO D
evoke,evoked,IH V OW K,IH V OW K T
fuel,fueled,F Y UW AH L,F Y UW AH L D
brain,brained,B R EY N,B R EY N D
stockpile,stockpiled,S T AA K P AY L,S T AA K P AY L D
bowl,bowled,B OW L,B OW L D
assuage,assuaged,AH S W EY JH,AH S W EY JH D
supersede,superseded,S UW P ER S IY D,S UW P ER S IY D IH D
set,set,S EH T,S EH T
knife,knifed,N AY F,N AY F T
glue,glued,G L UW,G L UW D
prove,proved,P R UW V,P R UW V D
erode,eroded,IH R OW D,IH R OW D AH D
gasp,gasped,G AE S P,G AE S P T
locate,located,L OW K EY T,L OW K EY T AH D
understate,understated,AH N D ER S T EY T,AH N D ER S T EY T IH D
dwindle,dwindled,D W IH N D AH L,D W IH N D AH L D
disincline,disinclined,D IH S IH N K L AY N,D IH S IH N K L AY N D
separate,separated,S EH P ER EY T,S EH P ER EY T IH D
save,saved,S EY V,S EY V D
enumerate,enumerated,IH N UW M ER EY T,IH N UW M ER EY T IH D
show,showed,SH OW,SH OW D
canoe,canoed,K AH N UW,K AH N UW D
excavate,excavated,EH K S K AH V EY T,EH K S K AH V EY T IH D
agree,agreed,AH G R IY,AH G R IY D
perfume,perfumed,P ER F Y UW M,P ER F Y UW M D
chew,chewed,CH UW,CH UW D
man,manned,M AE N,M AE N D
publicize,publicized,P AH B L IH S AY Z,P AH B L IH S AY Z D
uplink,uplinked,AH P L IH NG K,UW P L IH NG K D
pity,pitied,P IH T IY,P IH T IY D
dibble,dibbled,D IH B AH L,D IH B AH L D
machine,machined,M AH SH IY N,M AH SH IY N D
passe,passed,P AE S EY,P AE S T
befuddle,befuddled,B IH F AH D AH L,B IH F AH D AH L D
coincide,coincided,K OW IH N S AY D,K OW AH N S AY D AH D
realise,realised,R IY AH L AY Z,R IY AH L AY Z D
prejudge,prejudged,P R IY JH AH JH,P R IY JH AH JH D
misapply,misapplied,M IH S AH P L AY,M IH S AH P L AY D
mismanage,mismanaged,M IH S M AE N IH JH,M IH S M AE N IH JH D
cube,cubed,K Y UW B,K Y UW B D
house,housed,HH AW S,HH AW Z D
ramble,rambled,R AE M B AH L,R AE M B AH L D
cop,copped,K AA P,K AA P T
swim,swam,S W IH M,S W AE M
perfect,perfected,P ER F EH K T,P ER F EH K T IH D
masturbate,masturbated,M AE S T ER B EY T,M AE S T ER B EY T IH D
dislodge,dislodged,D IH S L AA JH,D IH S L AA JH D
stash,stashed,S T AE SH,S T AE SH T
forward,forwarded,F AO R W ER D,F AO R W ER D IH D
it,it,IH T,IH T
quarantine,quarantined,K W AO R AH N T IY N,K W AO R AH N T IY N D
accommodate,accommodated,AH K AA M AH D EY T,AH K AA M AH D EY T IH D
overstate,overstated,OW V ER S T EY T,OW V ER S T EY T IH D
permutate,permutated,P ER M Y UW T EY T,P ER M Y UW T EY T IH D
jilt,jilted,JH IH L T,JH IH L T IH D
motivate,motivated,M OW T AH V EY T,M OW T AH V EY T AH D
decimate,decimated,D EH S AH M EY T,D EH S AH M EY T IH D
buttonhole,buttonholed,B AH T AH N HH OW L,B AH T AH N HH OW L D
decode,decoded,D IH K OW D,D IH K OW D AH D
yuppify,yuppified,Y AH P IH F AY,Y AH P IH F AY D
guard,guarded,G AA R D,G AA R D AH D
horrify,horrified,HH AO R AH F AY,HH AO R AH F AY D
deposit,deposited,D AH P AA Z IH T,D AH P AA Z IH T IH D
ship,shipped,SH IH P,SH IH P T
buffet,buffeted,B AH F AH T,B AH F EY D
vanish,vanished,V AE N IH SH,V AE N IH SH T
multiply,multiplied,M AH L T AH P L AY,M AH L T AH P L AY D
commend,commended,K AH M EH N D,K AH M EH N D IH D
fell,felled,F EH L,F EH L D
sneeze,sneezed,S N IY Z,S N IY Z D
offset,offset,AO F S EH T,AO F S EH T
hoard,hoarded,HH AO R D,HH AO R D IH D
straddle,straddled,S T R AE D AH L,S T R AE D AH L D
swap,swapped,S W AA P,S W AA P T
help,helped,HH EH L P,HH EH L P T
panic,panicked,P AE N IH K,P AE N IH K T
object,objected,AA B JH EH K T,AH B JH EH K T AH D
traumatize,traumatized,T R AO M AH T AY Z,T R AO M AH T AY Z D
breed,bred,B R IY D,B R EH D
hunt,hunted,HH AH N T,HH AH N T AH D
commingle,commingled,K AH M IH NG G AH L,K AA M IH NG G AH L D
ride,rode,R AY D,R OW D
blindside,blindsided,B L AY N D S AY D,B L AY N D S AY D IH D
charge,charged,CH AA R JH,CH AA R JH D
bully,bullied,B UH L IY,B UH L IY D
laugh,laughed,L AE F,L AE F T
leach,leached,L IY CH,L IY CH T
append,appended,AH P EH N D,AH P EH N D IH D
hose,hosed,HH OW Z,HH OW Z D
rejoice,rejoiced,R IH JH OY S,R IH JH OY S T
violate,violated,V AY AH L EY T,V AY AH L EY T IH D
clamp,clamped,K L AE M P,K L AE M P T
smoke,smoked,S M OW K,S M OW K T
eke,eked,IY K,IY K T
verify,verified,V EH R AH F AY,V EH R AH F AY D
mistake,mistook,M IH S T EY K,M IH S T UH K
